1,0.99848,0.99758,0.99561,0.99163,0.99011,0.98692,0.98095,0.97876,0.97189,0.96764,0.96332,0.9608,0.95787,0.95255,0.94835,0.93875,0.92874,0.91907,0.91547,0.91084,0.90443,0.89939,0.89531,0.89216,0.89,0.88803,0.88809,0.88646,0.89006,0.88978,0.89156,0.89056,0.88935,0.8875,0.88799,0.88795,0.88822,0.88687,0.87895,0.87128,0.86492,0.85631,0.85204,0.84806,0.83682,0.82487,0.81847,0.81128,0.79618,0.78434,0.77005,0.75513,0.74887,0.74336,0.73034,0.71844,0.68119,0.64851,0.6205,0.61411,0.59729,0.57633,0.55501,0.53609,0.51706,0.49837,0.48204,0.45083,0.43107,0.41417,0.40231,0.38145,0.37256,0.35641,0.33927,0.33038,0.32188,0.31448,0.31188,0.315,0.31335,0.30781,0.30631,0.30236,0.29931,0.29249,0.28805,0.27388,0.26837,0.26522,0.26204,0.2582,0.24971,0.24218,0.22881,0.21876,0.20348,0.20849,0.19875,0.21508,0.21807,0.20621,0.19588,0.20948,-0.4307,-0.3961,0.99992,0.65091
0.99848,1,0.99961,0.99821,0.99499,0.9938,0.99119,0.98572,0.98359,0.9771,0.97292,0.96881,0.9664,0.96362,0.95861,0.95445,0.94523,0.9352,0.92559,0.92193,0.91713,0.91043,0.90478,0.90017,0.8966,0.8941,0.89184,0.89111,0.88842,0.89094,0.89037,0.89135,0.88922,0.88737,0.88484,0.88454,0.88411,0.88435,0.88247,0.87403,0.86603,0.85939,0.8503,0.84598,0.84191,0.8301,0.81773,0.81127,0.80403,0.78869,0.77685,0.76244,0.74694,0.74063,0.73511,0.72195,0.70995,0.67255,0.63978,0.61185,0.60547,0.58872,0.5678,0.54673,0.52787,0.50879,0.48993,0.47336,0.44206,0.42261,0.40623,0.39461,0.37337,0.36416,0.3477,0.33074,0.32225,0.31463,0.30782,0.30595,0.30934,0.30809,0.30289,0.3015,0.29794,0.29488,0.28818,0.28378,0.26956,0.26411,0.2611,0.25787,0.25406,0.24574,0.23833,0.22491,0.2143,0.19853,0.20365,0.19365,0.21104,0.21401,0.20202,0.19172,0.20662,-0.42988,-0.39749,0.99834,0.64576
0.99758,0.99961,1,0.99909,0.99627,0.99519,0.99269,0.98725,0.98515,0.97878,0.97467,0.97067,0.9683,0.96558,0.9607,0.95661,0.94747,0.93758,0.92815,0.92447,0.91959,0.91305,0.9074,0.90256,0.89886,0.8964,0.89413,0.89296,0.88998,0.89213,0.89145,0.89205,0.88952,0.88752,0.88476,0.88405,0.88333,0.88322,0.88105,0.87234,0.86411,0.85722,0.84755,0.84297,0.83868,0.8264,0.81375,0.80708,0.79971,0.78422,0.7722,0.7576,0.74186,0.73549,0.72994,0.71671,0.70468,0.66725,0.63417,0.6062,0.59993,0.58333,0.5625,0.54128,0.52238,0.5032,0.4842,0.46747,0.43609,0.41682,0.40059,0.38911,0.36793,0.35867,0.34271,0.32595,0.31757,0.31017,0.30349,0.30191,0.30553,0.30442,0.29935,0.29831,0.29502,0.29206,0.28541,0.28109,0.26694,0.26166,0.25893,0.25595,0.25251,0.24437,0.23707,0.22397,0.21345,0.19779,0.20335,0.19351,0.2107,0.21359,0.20166,0.19137,0.20621,-0.42731,-0.39693,0.99739,0.64199
0.99561,0.99821,0.99909,1,0.99812,0.99727,0.99521,0.99028,0.9884,0.98242,0.97858,0.97466,0.97236,0.96979,0.9651,0.96106,0.95198,0.94226,0.93279,0.92897,0.924,0.9173,0.91152,0.90678,0.90298,0.90022,0.89765,0.89545,0.89173,0.89296,0.89198,0.89191,0.88864,0.88607,0.88286,0.88151,0.88021,0.87955,0.8762,0.86677,0.85797,0.85061,0.84049,0.83571,0.83121,0.81832,0.80529,0.79829,0.79069,0.77507,0.76314,0.74838,0.73205,0.72548,0.71977,0.70627,0.69414,0.65671,0.62332,0.59509,0.58888,0.57229,0.55145,0.53015,0.51153,0.49253,0.47341,0.45669,0.4255,0.40707,0.39113,0.38009,0.35915,0.35011,0.33423,0.31773,0.3097,0.30263,0.29637,0.29536,0.29942,0.29851,0.29363,0.29274,0.28987,0.28703,0.28062,0.27639,0.26247,0.25768,0.25563,0.25282,0.24975,0.24183,0.23448,0.22194,0.21151,0.19581,0.20136,0.19154,0.20827,0.21105,0.19918,0.1888,0.20433,-0.42391,-0.39517,0.99537,0.63429
0.99163,0.99499,0.99627,0.99812,1,0.99977,0.99844,0.99472,0.99333,0.98826,0.98503,0.9816,0.97955,0.97725,0.97297,0.96909,0.95983,0.95034,0.94101,0.93723,0.93213,0.92486,0.91857,0.91353,0.9091,0.9053,0.90219,0.89835,0.89303,0.89232,0.89089,0.88976,0.88559,0.88212,0.87827,0.87609,0.87384,0.87235,0.86739,0.85643,0.84712,0.83935,0.8289,0.82391,0.8192,0.80553,0.79205,0.78477,0.77696,0.76135,0.7493,0.73443,0.7177,0.71094,0.70496,0.69083,0.67844,0.64049,0.6073,0.57888,0.57273,0.55623,0.53504,0.51333,0.49476,0.47578,0.45663,0.43998,0.40885,0.39153,0.37613,0.36533,0.34424,0.33561,0.32006,0.30382,0.29646,0.28927,0.28401,0.28398,0.28824,0.28791,0.28371,0.28327,0.28078,0.2776,0.27142,0.26728,0.2535,0.24971,0.24812,0.24547,0.24255,0.23489,0.2277,0.216,0.20584,0.19019,0.19571,0.18621,0.20089,0.20442,0.19229,0.18198,0.19662,-0.41774,-0.39337,0.99129,0.62347
0.99011,0.9938,0.99519,0.99727,0.99977,1,0.9991,0.9957,0.99443,0.98957,0.98648,0.98317,0.98121,0.979,0.97481,0.97092,0.96157,0.95213,0.94284,0.93903,0.93388,0.92652,0.92007,0.91497,0.91037,0.90633,0.90301,0.8987,0.89304,0.89182,0.89026,0.88881,0.88435,0.8806,0.87653,0.87404,0.87161,0.87003,0.86456,0.85324,0.84377,0.83586,0.8251,0.82,0.81517,0.8013,0.78778,0.78047,0.77267,0.7571,0.74495,0.73003,0.71318,0.70638,0.70035,0.68611,0.67364,0.63567,0.60257,0.57404,0.56785,0.55124,0.53011,0.50836,0.4898,0.47082,0.4517,0.43504,0.40386,0.38673,0.37138,0.36055,0.3394,0.33094,0.31533,0.29921,0.29206,0.28504,0.28006,0.28048,0.28485,0.28471,0.28066,0.28023,0.2777,0.27442,0.26822,0.26414,0.25045,0.24674,0.24515,0.24244,0.23958,0.23202,0.22492,0.21344,0.20319,0.18769,0.19318,0.18374,0.19778,0.2016,0.18941,0.1791,0.19357,-0.41537,-0.3917,0.98975,0.61946
0.98692,0.99119,0.99269,0.99521,0.99844,0.9991,1,0.99783,0.99677,0.99237,0.98952,0.98643,0.98461,0.9826,0.97865,0.97498,0.96573,0.95632,0.94707,0.94328,0.93818,0.93078,0.92388,0.91867,0.91367,0.90903,0.90517,0.89978,0.89332,0.89092,0.88917,0.8873,0.88232,0.878,0.87346,0.87038,0.8676,0.8656,0.8593,0.847,0.83706,0.82867,0.8173,0.81205,0.80711,0.79299,0.77909,0.77151,0.76344,0.74767,0.73528,0.71996,0.70283,0.69592,0.68981,0.67528,0.66253,0.62433,0.59119,0.56264,0.55655,0.54,0.51902,0.49722,0.47872,0.45978,0.4406,0.42374,0.39258,0.37582,0.36077,0.35,0.32886,0.32073,0.30515,0.28927,0.28252,0.27534,0.27095,0.27207,0.27664,0.27691,0.2734,0.27303,0.2706,0.2675,0.2613,0.25731,0.2439,0.2401,0.23863,0.23576,0.23308,0.22594,0.21934,0.20792,0.19732,0.18156,0.18678,0.17763,0.19123,0.19537,0.18305,0.17267,0.18689,-0.41081,-0.38806,0.9865,0.61089
0.98095,0.98572,0.98725,0.99028,0.99472,0.9957,0.99783,1,0.99962,0.99587,0.99331,0.99049,0.9889,0.98718,0.98346,0.97988,0.97079,0.96153,0.95238,0.9487,0.94384,0.93613,0.92879,0.92332,0.91761,0.9122,0.90777,0.90113,0.89374,0.88932,0.88717,0.88459,0.87884,0.87336,0.86818,0.86386,0.85997,0.85729,0.84976,0.836,0.82563,0.81688,0.80529,0.79969,0.79438,0.77985,0.76554,0.75764,0.74917,0.73297,0.72019,0.70449,0.68722,0.68042,0.67444,0.65968,0.64654,0.60758,0.57434,0.54566,0.53953,0.52279,0.50169,0.48027,0.46224,0.44327,0.42414,0.40747,0.37578,0.35929,0.34444,0.334,0.31305,0.30553,0.28984,0.27482,0.26883,0.2617,0.25858,0.2608,0.266,0.26684,0.26371,0.2631,0.26064,0.25777,0.25176,0.24789,0.23448,0.23056,0.22912,0.22648,0.22416,0.21741,0.21093,0.19942,0.18882,0.17262,0.17766,0.16879,0.18206,0.18647,0.17429,0.1637,0.17561,-0.40455,-0.38419,0.98041,0.59838
0.97876,0.98359,0.98515,0.9884,0.99333,0.99443,0.99677,0.99962,1,0.9969,0.99448,0.99184,0.99034,0.9887,0.9851,0.98152,0.9725,0.96332,0.95421,0.95058,0.94574,0.93785,0.93033,0.92486,0.91904,0.91345,0.90888,0.90192,0.89416,0.88901,0.88672,0.8839,0.87789,0.87212,0.86661,0.86182,0.85745,0.85449,0.8464,0.83208,0.8214,0.81239,0.80056,0.79479,0.78935,0.77466,0.76016,0.75212,0.74352,0.72726,0.71442,0.69855,0.68118,0.67432,0.66832,0.65351,0.64029,0.60115,0.5678,0.539,0.53283,0.51613,0.49509,0.4737,0.4558,0.43704,0.41799,0.40142,0.36971,0.35352,0.33878,0.32836,0.30729,0.29998,0.28425,0.26946,0.26373,0.25671,0.25413,0.25674,0.26222,0.26321,0.26018,0.25955,0.25711,0.25415,0.24821,0.24436,0.23103,0.22703,0.22555,0.22285,0.22058,0.21386,0.20738,0.19594,0.18536,0.16925,0.17433,0.1657,0.17864,0.18313,0.17104,0.16035,0.17167,-0.40258,-0.38275,0.97817,0.59317
0.97189,0.9771,0.97878,0.98242,0.98826,0.98957,0.99237,0.99587,0.9969,1,0.99865,0.99641,0.99508,0.99359,0.99043,0.98738,0.97945,0.97079,0.96189,0.95848,0.95376,0.94566,0.93767,0.93192,0.92526,0.91893,0.91388,0.90542,0.89637,0.88977,0.88708,0.88351,0.87613,0.86913,0.86218,0.8561,0.85066,0.84655,0.83647,0.82044,0.80928,0.79989,0.78715,0.78101,0.77521,0.75942,0.74431,0.73616,0.72734,0.71085,0.69783,0.68163,0.66368,0.65653,0.65033,0.63533,0.62182,0.58209,0.54785,0.51916,0.51306,0.49606,0.47477,0.45354,0.43589,0.41755,0.39842,0.38198,0.35062,0.33467,0.32032,0.30996,0.28857,0.28095,0.26466,0.25028,0.24496,0.23816,0.23636,0.24026,0.24622,0.24789,0.24568,0.24499,0.24279,0.24,0.23447,0.23113,0.21835,0.21469,0.21367,0.21078,0.20872,0.20222,0.19618,0.18417,0.17389,0.15806,0.16325,0.15514,0.16612,0.17157,0.15918,0.14832,0.15679,-0.39581,-0.37634,0.9712,0.57716
